pmm,smm,vmm,exclude,deceased,firstName,nickName,lastName,organizationName,totalDonations,totalPledge,largestGift,largestGiftAppeal,firstGiftDate,lastGiftDate,lastGiftAmount,lastGiftRequest,lastGiftAppeal,addressLine1,addressLine2,city,contactPhoneType,phoneRestrictions,emailRestrictions,communicationRestrictions,subscriptionInPerson,subscriptionMagazine,communicationPreference
,,,false,false,Aurthur,,Hawson,Yost-Wunsch,15,17,14,,,,,,phasellus sit amet erat nulla tempus vivamus,86900 Warner Park,,Parksville,home,No Phone Appeals,Do Not Email,Opt-in,Opt-out,Opt-out,Newsletter
,,,false,false,Shannan,,Guiso,"Carroll, Batz and Armstrong",5,1,8,,,,,,,46036 Sunfield Court,Room 1234,Richmond,personal,No Surveys,Do Not Email,Opt-in,Opt-in,Opt-out,Newsletter
,,,false,false,Courtnay,,Perez,Heathcote-Moen,10,11,52,libero quis orci,,,,,,8447 Transport Circle,PO Box 95254,Vancouver,work,No Mass Communications,No Appeals,Opt-out,Opt-out,Opt-out,Holiday Card
,,Lorine Bowry,false,false,Lorine,,Bowry,Ebert Group,0,11,18,enim lorem ipsum dolor sit amet consectetuer adipiscing elit,,,5,,ante nulla justo aliquam quis turpis eget,975 Bluestem Hill,Room 1400,Richmond,personal,No Phone Appeals,No Appeals,Opt-out,Opt-out,Opt-in,Thank you
,,Starlin Barthelmes,false,false,Starlin,Starlin,Barthelmes,"Huels, Daniel and O'Keefe",5,13,73,,,,,,sed justo pellentesque viverra pede,7 Nobel Alley,Suite 60,Campbell,home,No Surveys,Do Not Email,Opt-out,Opt-in,Opt-out,Newsletter
,,Tessi O'Reilly,false,false,Tessi,,O'Reilly,Koelpin-Kovacek,0,2,13,ipsum aliquam non mauris morbi non lectus aliquam sit amet,11542,,,,in quam fringilla rhoncus mauris enim leo rhoncus,107 Hermina Parkway,,Saanich,work,No Phone Appeals,No Surveys,Opt-out,Opt-in,Opt-in,Holiday Card
,,Ravid Feary,false,false,Ravid,,Feary,Batz-Lindgren,3,6,23,,,,,,urna ut tellus nulla ut erat,26793 Eagle Crest Point,3rd Floor,River,personal,Do Not Call,No Appeals,Opt-out,Opt-in,Opt-in,Survey
,,,false,false,Lida,,Whitefoot,Auer-Mante,15,6,22,,,656347,,,,9143 Sundown Circle,Room 1382,Courtenay,home,Do Not Call,No Surveys,Opt-in,Opt-in,Opt-in,Thank you
,,,false,false,Christal,,Krzyzanowski,Spinka Group,1,10,19,,,,,,,623 Grayhawk Park,,Victoria,work,No Surveys,No Appeals,Opt-out,Opt-out,Opt-out,Thank you
,,,false,false,Virgie,,Eustice,Swift-Franecki,3,5,78,in felis eu,,,,,nascetur ridiculus mus etiam vel augue vestibulum rutrum,14 Donald Point,3rd Floor,Nanaimo,home,No Mass Communications,Do Not Email,Opt-out,Opt-in,Opt-in,Holiday Card
,,,false,false,Sashenka,,Smurfitt,"Hartmann, Denesik and Feest",19,15,16,iaculis justo in hac habitasse platea,,,,,dapibus at diam nam tristique,04975 Lindbergh Court,,Vancouver,personal,No Mass Communications,No Surveys,Opt-out,Opt-in,Opt-out,Thank you
,,,false,false,Rebecca,,Tainton,"Kuphal, Goodwin and Nitzsche",17,9,50,,,,,,,1 West Hill,8th Floor,Parksville,work,No Mass Communications,No Appeals,Opt-out,Opt-in,Opt-in,Research update
,Casey Vasyuchov,Casey Vasyuchov,false,false,Casey,,Vasyuchov,"Weimann, Koss and Hane",17,10,97,,,,,,vestibulum sagittis sapien cum sociis natoque,54 Comanche Parkway,14th Floor,Vancouver,home,Do Not Call,Do Not Email,Opt-out,Opt-in,Opt-in,Research update
,,Celestine Sibborn,false,false,Celestine,,Sibborn,"Homenick, Schaden and Wuckert",20,17,66,,,,,,augue vestibulum rutrum rutrum neque aenean,437 Morrow Drive,,Vancouver,home,No Mass Communications,No Mass Emails,Opt-out,Opt-in,Opt-out,Event
,,,false,false,Sherilyn,Sherilyn,Kinge,Dickinson Inc,17,5,63,,,,,,,57 Orin Park,7th Floor,Richmond,personal,No Surveys,No Mass Emails,Opt-out,Opt-out,Opt-in,Thank you
,,Kare McGennis,false,false,Kare,,McGennis,"Hermiston, Blick and Greenholt",20,1,43,eu est congue elementum in hac habitasse platea dictumst morbi,,,,,,5451 Montana Way,PO Box 15594,Victoria,work,No Surveys,No Appeals,Opt-in,Opt-out,Opt-in,Survey
Sayre Theseira,,,true,false,Sayre,Sayre,Theseira,"Johnston, Lubowitz and Kirlin",9,3,99,,,,,,,17 Haas Hill,Apt 1509,River,work,No Surveys,Do Not Email,Opt-in,Opt-out,Opt-in,Event
,,,false,false,Delano,Delano,Kubatsch,Davis-Davis,17,5,19,,,,,,,78952 Moulton Drive,Room 1418,River,personal,No Surveys,Do Not Email,Opt-in,Opt-in,Opt-out,Research update
,,,true,false,Josi,,Grishinov,"Price, McDermott and Friesen",4,13,72,,,,,,,7831 Little Fleur Place,PO Box 55877,Saanich,home,No Surveys,Do Not Email,Opt-in,Opt-in,Opt-in,Holiday Card
,Wernher Shevlin,,false,false,Wernher,,Shevlin,Bruen-Murphy,20,11,50,,,,,,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,8329 Anzinger Road,,Parksville,work,No Mass Communications,No Mass Emails,Opt-in,Opt-out,Opt-out,Event
,,Cornelle Hilldrup,false,false,Cornelle,Cornelle,Hilldrup,Steuber and Sons,9,17,100,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,,,,,,03509 Badeau Place,Suite 72,Courtenay,work,No Surveys,No Appeals,Opt-in,Opt-out,Opt-in,Thank you
,,,false,false,Dionysus,,Burles,Marks-Reichert,12,18,34,,,,,,,9551 Kipling Avenue,2nd Floor,Richmond,home,No Surveys,No Mass Emails,Opt-in,Opt-out,Opt-out,Holiday Card
,,Winston De Brett,false,false,Winston,Winston,De Brett,"Schmeler, Graham and Schuppe",18,8,37,,,,,,,427 Coolidge Alley,Suite 77,Surrey,home,No Surveys,Do Not Email,Opt-in,Opt-out,Opt-in,Event
,,Chet Cooney,false,false,Chet,,Cooney,Ward-Fadel,4,5,50,,,,,,vehicula consequat morbi a,5 8th Plaza,PO Box 10453,Burnaby,personal,No Mass Communications,Do Not Email,Opt-out,Opt-out,Opt-in,Survey
,,,false,false,Sherye,,Perrinchief,Batz Group,3,7,11,,,,,,amet consectetuer adipiscing,964 Melrose Avenue,,Victoria,work,Do Not Call,No Mass Emails,Opt-in,Opt-in,Opt-in,Newsletter
,,,false,false,Tova,,Dottrell,Treutel Group,8,1,11,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum,,,,,quis turpis sed ante vivamus tortor duis mattis egestas metus,36 Village Street,,Parksville,home,No Surveys,Do Not Email,Opt-in,Opt-out,Opt-out,Event
,,,false,false,Georgianna,,Berget,Pfeffer Inc,17,3,40,,,,,,mattis egestas metus aenean fermentum donec,028 Kings Road,,Surrey,personal,No Phone Appeals,No Mass Emails,Opt-out,Opt-out,Opt-out,Holiday Card
,,,false,false,Torie,,Wraight,"Daugherty, Ritchie and Hansen",7,16,26,,,,,,vel lectus in quam fringilla rhoncus mauris enim leo,07 Moland Hill,Suite 21,Campbell,work,Do Not Call,No Appeals,Opt-out,Opt-in,Opt-out,Research update
,Kathlin Martinelli,,false,false,Kathlin,Kathlin,Martinelli,,10,20,88,,,,,,,68 Summit Circle,Suite 75,River,personal,Do Not Call,No Surveys,Opt-out,Opt-in,Opt-in,Event
,,,false,false,Norbert,Norbert,Fearne,Simonis and Sons,13,9,72,,,,,,,2 Mccormick Park,Suite 83,Vancouver,home,No Mass Communications,No Appeals,Opt-in,Opt-out,Opt-in,Event
,Nils Baselio,,false,true,Nils,,Baselio,"Gusikowski, Treutel and Pfannerstill",0,11,32,,,,,,,09 Sachs Drive,,Courtenay,home,Do Not Call,No Surveys,Opt-out,Opt-out,Opt-out,Research update
,Emile Pappin,,false,false,Emile,,Pappin,Ankunding Inc,9,18,56,,,,,,,62 Oak Alley,Apt 1640,River,personal,No Mass Communications,No Surveys,Opt-in,Opt-out,Opt-out,Holiday Card
,,Kiri Butterley,false,true,Kiri,,Butterley,,2,17,76,,85976,,,,,8 Daystar Center,,Richmond,home,No Surveys,No Appeals,Opt-in,Opt-in,Opt-out,Holiday Card
,,Felisha McNeillie,true,false,Felisha,,McNeillie,"Cummerata, Streich and Moore",1,2,25,,,,,,orci luctus et ultrices posuere cubilia,8 Briar Crest Road,,Saanich,home,No Surveys,No Surveys,Opt-in,Opt-out,Opt-out,Event
,,,false,true,Constanta,,Avraam,Rosenbaum Inc,8,6,59,,,,,,,9843 Carey Way,Apt 968,Richmond,home,No Mass Communications,Do Not Email,Opt-out,Opt-in,Opt-in,Research update
,,Orlan McGillivray,false,false,Orlan,,McGillivray,McDermott LLC,7,4,22,,,,,,,963 Hoepker Lane,Room 1553,Campbell,personal,No Phone Appeals,No Appeals,Opt-in,Opt-out,Opt-out,Thank you
,,Jennica Sneddon,false,false,Jennica,,Sneddon,,20,13,4,,,,,,,3248 Bashford Lane,,Courtenay,work,Do Not Call,Do Not Email,Opt-in,Opt-in,Opt-in,Survey
,,,false,false,Germaine,,Hornung,Walter Group,0,9,34,,,,35,,eget orci vehicula condimentum,164 Brentwood Trail,,Campbell,work,No Surveys,No Appeals,Opt-in,Opt-out,Opt-in,Survey
,Nicoli Hateley,,false,false,Nicoli,Nicoli,Hateley,,4,6,34,,,,,,auctor gravida sem praesent id,7286 Warner Parkway,Suite 100,Courtenay,personal,No Phone Appeals,No Appeals,Opt-in,Opt-in,Opt-out,Event
,,Corby Rallings,false,false,Corby,,Rallings,,12,9,98,,,,,,,99 Monica Alley,Room 985,River,personal,No Mass Communications,Do Not Email,Opt-out,Opt-out,Opt-in,Event
,,,false,true,Franky,,McEllen,Klein-Bartell,20,5,76,,,,,,,20 Sunbrook Point,PO Box 26838,Vancouver,work,No Mass Communications,No Mass Emails,Opt-in,Opt-out,Opt-out,Thank you
,,Jillana Vick,false,false,Jillana,,Vick,Mertz-Hettinger,7,1,19,,,,74,,tincidunt eget tempus vel pede,5333 Warbler Lane,,Richmond,home,No Mass Communications,No Appeals,Opt-out,Opt-in,Opt-out,Research update
,,,false,false,Ulberto,,Giddins,Mraz-Lebsack,7,17,85,,,,,,,503 Debs Plaza,19th Floor,River,work,No Mass Communications,Do Not Email,Opt-out,Opt-out,Opt-in,Holiday Card
,,Misha Collabine,false,false,Misha,,Collabine,"Breitenberg, Nolan and Kuhn",20,1,72,ut suscipit a feugiat et eros,,,,,duis bibendum felis sed interdum venenatis turpis enim,765 Hauk Lane,15th Floor,Nanaimo,home,No Surveys,No Surveys,Opt-out,Opt-out,Opt-out,Survey
,,,false,false,Viole,,Fannon,Kris-Hilll,20,20,63,,,,,,,4 Rutledge Terrace,Suite 34,Vancouver,personal,No Phone Appeals,No Surveys,Opt-in,Opt-in,Opt-in,Thank you
,,,false,false,Ring,,Joutapaitis,Hegmann-Marks,20,20,96,,,,,,id consequat in consequat ut nulla sed,20877 Elka Trail,20th Floor,Nanaimo,home,No Surveys,No Mass Emails,Opt-in,Opt-out,Opt-in,Survey
,,,false,false,Brigitta,Brigitta,Aldhous,,0,10,10,,,,,,,4129 Eggendart Street,,Surrey,home,Do Not Call,No Appeals,Opt-out,Opt-in,Opt-out,Research update
,,,false,false,Joel,,Surgenor,,9,9,80,,,,,,,308 Cardinal Parkway,,Parksville,personal,No Phone Appeals,No Mass Emails,Opt-out,Opt-out,Opt-out,Thank you
,,,false,false,Kellby,,Whiffin,"Yundt, Nikolaus and Frami",11,15,33,,,,,,,21 Eastlawn Park,,Courtenay,personal,No Surveys,Do Not Email,Opt-in,Opt-out,Opt-out,Event
,,,false,false,Chane,,Moxley,Sipes and Sons,10,5,90,,,,,,,27 Mendota Street,,Campbell,personal,No Surveys,Do Not Email,Opt-out,Opt-in,Opt-out,Research update
,,,false,false,Gloriana,Gloriana,Reinhart,Medhurst Inc,12,17,46,,,,,,,2938 Alpine Park,,Surrey,home,No Phone Appeals,No Appeals,Opt-in,Opt-in,Opt-out,Survey
,,,false,false,Miles,,Campanelle,,0,8,65,,,,,,pretium nisl ut volutpat sapien arcu sed augue aliquam,2459 Kipling Plaza,,Saanich,home,Do Not Call,No Surveys,Opt-out,Opt-in,Opt-in,Thank you
,,,false,false,Therese,,Bartens,Gottlieb and Sons,3,4,68,posuere cubilia curae duis faucibus accumsan odio curabitur,,,,,odio in hac habitasse platea dictumst,703 Quincy Court,Apt 473,Courtenay,personal,No Phone Appeals,No Surveys,Opt-in,Opt-out,Opt-in,Research update
Karoline Arndell,,,false,false,Karoline,,Arndell,Runolfsson-Cronin,19,8,66,,,,,,,597 Lerdahl Center,,Courtenay,home,No Phone Appeals,Do Not Email,Opt-in,Opt-out,Opt-out,Survey
Brannon Bodycote,Brannon Bodycote,,false,false,Brannon,,Bodycote,"McCullough, McClure and Schroeder",17,4,52,,,,,,,0190 Moland Pass,,Vancouver,personal,No Surveys,No Surveys,Opt-in,Opt-in,Opt-in,Holiday Card
,,Ralina Greenham,false,false,Ralina,,Greenham,"Spencer, Bogan and Ruecker",13,4,94,,,,,,,0975 Corscot Parkway,Room 369,Courtenay,home,No Mass Communications,No Surveys,Opt-in,Opt-out,Opt-in,Event
,,,true,false,Geoff,,Cisland,Torphy-Runolfsson,3,1,64,,,,,,,06 Moose Crossing,5th Floor,Campbell,personal,Do Not Call,No Surveys,Opt-out,Opt-out,Opt-in,Newsletter
,,,false,false,Hendrik,,Clewlow,,4,8,7,,,,,,parturient montes nascetur ridiculus,4 Pearson Trail,13th Floor,Victoria,work,Do Not Call,No Appeals,Opt-in,Opt-out,Opt-out,Newsletter
,,,false,false,Clement,,Stearn,Collins-Mayert,12,3,9,,,,,,faucibus orci luctus et ultrices,70977 West Lane,6th Floor,Richmond,home,No Surveys,No Appeals,Opt-in,Opt-out,Opt-out,Survey
,,Wilone Izzard,false,false,Wilone,,Izzard,"Schneider, Ankunding and Mante",6,8,67,,,,,,,9 West Parkway,Suite 34,Nanaimo,home,No Mass Communications,No Appeals,Opt-out,Opt-out,Opt-in,Survey
,,Chelsea Berceros,false,false,Chelsea,,Berceros,"Gibson, Kub and Feeney",20,20,20,,,,,,nec sem duis,1 Tennessee Avenue,Apt 184,Burnaby,home,No Surveys,No Appeals,Opt-out,Opt-out,Opt-in,Newsletter
,,,false,false,Ibrahim,,Cromleholme,Gutkowski-Lubowitz,1,4,58,,,,,,,50935 Dwight Circle,14th Floor,Saanich,work,No Phone Appeals,No Mass Emails,Opt-out,Opt-in,Opt-in,Newsletter
,,,false,false,Natty,,Geffen,Greenfelder Inc,6,4,27,,,,,,quis tortor id nulla ultrices aliquet maecenas,0 7th Drive,4th Floor,Courtenay,personal,No Phone Appeals,No Surveys,Opt-out,Opt-in,Opt-out,Research update
,,,false,false,Beret,Beret,Kimbury,Welch and Sons,9,9,57,dui vel sem sed sagittis nam congue risus semper porta,,,,,,73 Carey Court,11th Floor,Victoria,home,No Surveys,No Surveys,Opt-out,Opt-out,Opt-out,Event
,,Grazia Fildes,false,false,Grazia,,Fildes,"O'Hara, Kautzer and Doyle",4,14,57,,,,,,amet eleifend pede libero quis,0912 Cascade Circle,,River,home,No Mass Communications,No Appeals,Opt-in,Opt-out,Opt-in,Research update
Stephana McCoughan,,,false,false,Stephana,,McCoughan,,13,8,11,,12611,,88,,,91 Manitowish Road,Apt 637,River,home,No Surveys,No Appeals,Opt-out,Opt-out,Opt-out,Holiday Card
,,Rozamond Meany,false,false,Rozamond,,Meany,Medhurst and Sons,15,7,94,,,,83,,tincidunt eu felis fusce posuere,97794 Cascade Park,Suite 85,Burnaby,home,No Surveys,Do Not Email,Opt-out,Opt-out,Opt-out,Survey
,,,false,false,Vivianna,,Grundon,"Lueilwitz, O'Reilly and Keebler",15,3,31,,,,,,vestibulum quam sapien varius ut,81457 Eastlawn Terrace,Apt 1121,Parksville,home,Do Not Call,No Appeals,Opt-in,Opt-in,Opt-out,Research update
,,Ddene Motherwell,false,false,Ddene,,Motherwell,"Walker, Hintz and Botsford",4,14,32,,,,,,,71 School Parkway,Room 643,Burnaby,work,Do Not Call,No Surveys,Opt-out,Opt-out,Opt-in,Survey
,,,false,false,Elonore,Elonore,Swindlehurst,"Schaden, Crooks and Cronin",0,8,17,,,,,,,26808 Glendale Junction,PO Box 73816,Vancouver,home,No Mass Communications,No Appeals,Opt-in,Opt-out,Opt-out,Survey
,,,false,false,Lothario,,Dabell,Mosciski-Ortiz,19,3,81,,,,17,,lacus curabitur at ipsum ac tellus semper interdum mauris,35767 Porter Trail,Room 1152,Parksville,personal,No Phone Appeals,No Appeals,Opt-in,Opt-out,Opt-in,Thank you
,,Kathie MacCaughey,false,false,Kathie,,MacCaughey,,14,15,11,pulvinar sed nisl nunc rhoncus dui vel sem sed,,,,,,930 Rutledge Avenue,Apt 1217,Saanich,personal,No Surveys,No Mass Emails,Opt-in,Opt-out,Opt-in,Survey
,Jase Bellfield,,true,false,Jase,,Bellfield,"Rau, Friesen and Pagac",20,19,79,,,,,,et eros vestibulum,082 Northfield Point,Room 133,Courtenay,home,No Phone Appeals,No Surveys,Opt-out,Opt-in,Opt-in,Survey
,,,true,false,Una,,Cristoforetti,,16,16,20,,,,,,,8421 Londonderry Plaza,Apt 316,Campbell,work,No Phone Appeals,No Surveys,Opt-in,Opt-in,Opt-in,Thank you
,Dermot Dolder,,false,false,Dermot,Dermot,Dolder,Dicki-O'Kon,17,14,43,,,,,,,47993 Continental Place,Suite 53,Courtenay,personal,No Surveys,No Surveys,Opt-out,Opt-out,Opt-out,Research update
,Bennett Grzeskowski,,true,false,Bennett,,Grzeskowski,Lindgren-Wintheiser,4,10,89,magnis dis parturient montes nascetur ridiculus mus,,,,,,72 Pleasure Hill,,Nanaimo,home,Do Not Call,No Surveys,Opt-in,Opt-in,Opt-out,Research update
,,Paddy Illiston,false,false,Paddy,,Illiston,"Wisoky, Runolfsdottir and Bernier",4,16,14,et magnis dis parturient montes nascetur,,,,,vulputate nonummy maecenas tincidunt lacus at velit,309 Monica Terrace,,Campbell,home,No Surveys,No Appeals,Opt-in,Opt-out,Opt-out,Newsletter
,,Evie Apperley,false,false,Evie,,Apperley,Durgan Inc,12,3,19,,,,,,,1 Northport Place,PO Box 35412,Saanich,work,No Phone Appeals,Do Not Email,Opt-in,Opt-out,Opt-in,Event
,,Tana Ruzic,false,false,Tana,,Ruzic,Sanford and Sons,14,7,52,,,,,,,9 Lindbergh Pass,PO Box 59602,Courtenay,work,No Surveys,No Mass Emails,Opt-out,Opt-out,Opt-out,Event
,,,false,false,Myrah,,Angell,Durgan-Sipes,8,4,80,ultrices posuere cubilia curae,,,,,,95223 Beilfuss Avenue,Suite 55,Victoria,work,No Mass Communications,No Appeals,Opt-out,Opt-out,Opt-in,Newsletter
,,,false,false,Marlyn,Marlyn,Cuddihy,Padberg-Hermann,10,15,18,,,,,,,2 Meadow Ridge Center,Apt 1101,Campbell,home,No Mass Communications,Do Not Email,Opt-in,Opt-out,Opt-out,Survey
,,Shelbi Kless,false,false,Shelbi,,Kless,,18,15,92,,,,54,,,6 Longview Point,PO Box 65093,Nanaimo,home,No Surveys,No Appeals,Opt-in,Opt-in,Opt-out,Event
Shea Amori,,,false,false,Shea,,Amori,Miller-Lynch,14,14,39,,88774,,18,,ultrices posuere cubilia,5 Crowley Center,Apt 1138,Parksville,home,Do Not Call,No Surveys,Opt-out,Opt-in,Opt-out,Survey
,,,false,false,Emmeline,Emmeline,Roke,"Turner, Pagac and Sporer",1,8,19,,,,,,,150 Dawn Hill,Apt 1408,Burnaby,home,No Surveys,No Mass Emails,Opt-out,Opt-out,Opt-out,Research update
,,,false,false,Indira,,Breadon,White LLC,5,13,71,,,,,,duis aliquam convallis nunc proin at turpis,25377 Warrior Road,,Courtenay,personal,No Mass Communications,No Appeals,Opt-out,Opt-in,Opt-out,Holiday Card
,Shirley Docwra,,false,false,Shirley,,Docwra,,20,17,15,,,,,,,4 Anniversary Point,,Surrey,personal,No Phone Appeals,No Appeals,Opt-out,Opt-out,Opt-in,Thank you
